gene	display_name	functional_category	notes
hlyA	hlyA	Toxins	Hemolysin A
hlyB	hlyB	Toxins	Hemolysin B
hlyC	hlyC	Toxins	Hemolysin C
hlyD	hlyD	Toxins	Hemolysin D
avian-hlye	hlyE	Toxins	Avian E. coli hemolysin
hlyE	hlyE	Toxins	Avian E. coli hemolysin
hlyF	hlyF	Toxins	Hemolysin F
hra	hra	Adhesion/Colonization	Heat-resistant agglutinin
hra1-3	hra	Adhesion/Colonization	Heat-resistant agglutinin
hylA	hylA	Toxins	
hylB	hylB	Toxins	
hylEfm	hylEfm	Toxins	
hysA	hysA	Toxins	hyaluronate lyase
ibeA	ibeA	Invasion	Invasion protein
icaA	icaA	Adhesion/Colonization	intercellular adhesion protein A
icaB	icaB	Adhesion/Colonization	intercellular adhesion protein B
icaC	icaC	Adhesion/Colonization	intercellular adhesion protein C
icaD	icaD	Adhesion/Colonization	intercellular adhesion protein D
iha	iha	Adhesion/Colonization	Adherence protein
ipaD	ipaD	Invasion	Invasion protein Shigella flexneri
ipaH	ipaH	Invasion	Invasion plasmid antigen
ipah	ipaH	Invasion	Invasion plasmid antigen
ipaH7.8	ipaH7.8	Invasion	Invasion plasmid antigen
ipaH9.8	ipaH9.8	Invasion	Invasion plasmid antigen
ireA	ireA	Iron uptake and utilization	Siderophore receptor
iroN	iroN	Iron uptake and utilization	Enterobactin siderophore receptor protein
irp2	irp2	Iron uptake and utilization	High molecular weight protein 2 non-ribosomal peptide synthetase
isb	isb	Protectins/Resistance to body defenses	IgG-binding protein SBI
iss	iss	Protectins/Resistance to body defenses	Increased serum survival
iss2	iss	Protectins/Resistance to body defenses	Increased serum survival
iucC	iucC	Iron uptake and utilization	Aerobactin synthetase
iutA	iutA	Iron uptake and utilization	Ferric aerobactin receptor
katP	katP	Protectins/Resistance to body defenses	Plasmid-encoded catalase peroxidase
kpsD	kpsD	Protectins/Resistance to body defenses	Capsule protein KpsD
kpsE	kpsE	Protectins/Resistance to body defenses	Capsule polysaccharide export inner-membrane protein
kpsM	kpsM	Protectins/Resistance to body defenses	Group 3 capsule
kpsM_K11	kpsM	Protectins/Resistance to body defenses	Group 3 capsule
kpsM_K15	kpsM	Protectins/Resistance to body defenses	Group 3 capsule
kpsM_K19	kpsM	Protectins/Resistance to body defenses	Group 3 capsule
kpsM_K19K23	kpsM	Protectins/Resistance to body defenses	Group 3 capsule
kpsMII	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMII_K1	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMII_K23	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMII_K24	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMII_K4	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMII_K5	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMII_K52	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMII_K94	kpsMII	Protectins/Resistance to body defenses	Polysialic acid transport protein; Group 2 capsule
kpsMIII	kpsMIII	Protectins/Resistance to body defenses	Group 3 capsule
kpsMIII_K10	kpsMIII	Protectins/Resistance to body defenses	Group 3 capsule
kpsMIII_K96	kpsMIII	Protectins/Resistance to body defenses	Group 3 capsule
kpsMIII_K98	kpsMIII	Protectins/Resistance to body defenses	Group 3 capsule
kpsT	kpsT	Protectins/Resistance to body defenses	Capsule protein  KpsT
lip	lip		triacylglycerol lipase
lngA	lngA	Adhesion/Colonization	CS21 Major pilin
lngB	lngB	Adhesion/Colonization	CS21
lngC	lngC	Adhesion/Colonization	CS21
lngD	lngD	Adhesion/Colonization	CS21 Putative outer membrane protein
lngE	lngE	Adhesion/Colonization	CS21 Putative inner membrane protein
lngF	lngF	Adhesion/Colonization	CS21 Putative inner membrane protein
lngG	lngG	Adhesion/Colonization	CS21 Putative periplasmic protein
lngH	lngH	Adhesion/Colonization	CS21 Putative nucleotide-binding protein
lngI	lngI	Adhesion/Colonization	CS21 Putative inner membrane protein
lngJ	lngJ	Adhesion/Colonization	CS21 Putative ATPase-like
lngP	lngP	Adhesion/Colonization	CS21 Putative prepilin peptidase
lngT	lngT	Adhesion/Colonization	CS21
lngX1	lngX1	Adhesion/Colonization	CS21
lngX2	lngX2	Adhesion/Colonization	CS21
lpfA	lpfA	Adhesion/Colonization	Long polar fimbriae
lukD	lukD	Toxins	leukocidin D component
lukE	lukE	Toxins	leukocidin E component
lukF-PV	lukF-PV	Toxins	Panton Valentine leukocidin F component
lukM	lukM	Toxins	LukM precursor
lukS-PV	lukS-PV	Toxins	Panton Valentine leukocidin S component
lys	lys	Colicin/Bacteriocins/Microcins	Colicin release protein
mcbA	mcbA	Colicin/Bacteriocins/Microcins	Bacteriocin microcin B17
mchB	mchB	Colicin/Bacteriocins/Microcins	Microcin H47 part of colicin H
mchC	mchC	Colicin/Bacteriocins/Microcins	MchC protein
mchF	mchF	Colicin/Bacteriocins/Microcins	ABC transporter protein MchF
mcmA	mcmA	Colicin/Bacteriocins/Microcins	Microcin M part of colicin H
mrkA	mrkA	Colicin/Bacteriocins/Microcins	type 3 fimbrial major subunit
neuC	neuC	Colicin/Bacteriocins/Microcins	Polysialic acid capsule biosynthesis protein
nfaA	nfaA	Colicin/Bacteriocins/Microcins	CS15 Nonfimbrial adhesin A
nfaE	nfaE	Adhesion/Colonization	Diffuse adherence fibrillar adhesin gene
nleA	nleA	Secretion system	Non-LEE encoded effector A
nleA/espI	nleA	Secretion system	Non-LEE encoded effector A
nleB	nleB	Secretion system	Non-LEE encoded effector B
nleB1	nleB	Secretion system	Non-LEE encoded effector B
nleB2	nleB	Secretion system	Non-LEE encoded effector B
nleC	nleC	Secretion system	Non-LEE encoded effector C
nlpI	nlpI		lipoprotein NlpI precursor
ompA	ompA	Protectins/Resistance to body defenses	Outer membrane protein A
ompT	ompT	Protectins/Resistance to body defenses	Outer membrane protease
ORF3	ORF3		Isoprenoid Biosynthesis
ORF4	ORF4		Putative isopentenyl-diphosphate delta-isomerase
paa	paa	Adhesion/Colonization	Outer membrane adhesin Paa / Porcine attaching-effacing associated protein P
papA	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F11	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F12	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F13	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F14	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F1651A	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F19	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F20	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F40	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F43	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F48	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F536	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F7-1	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F7-2	papA	Adhesion/Colonization	Major pilin subunit papA
papA_F9	papA	Adhesion/Colonization	Major pilin subunit papA
papA_feiA_F8	papA	Adhesion/Colonization	Major pilin subunit papA
papA_ffiA_F15	papA	Adhesion/Colonization	Major pilin subunit papA
papA_ffoA_F14	papA	Adhesion/Colonization	Major pilin subunit papA
papA_fsiA_F16	papA	Adhesion/Colonization	Major pilin subunit papA
papA_fteA_F10	papA	Adhesion/Colonization	Major pilin subunit papA
papA_prsA_F12	papA	Adhesion/Colonization	Major pilin subunit papA
perA	perA	Adhesion/Colonization	EPEC adherence factor
pet	pet	Adhesion/Colonization	Autotransporter enterotoxin
pic	pic	Adhesion/Colonization	serine protease autotransporter
picU	picU	Adhesion/Colonization	Pic from uropathogenic E. coli (UPEC)
pssA	pssA	Adhesion/Colonization	Protease secreted by Shiga toxin-producing E. coli (STEC)
rpeA	rpeA	Adhesion/Colonization	serine protease autotransporter
saa	saa	Adhesion/Colonization	Auto agglutinating adhesin
sak	sak		staphylokinase
sal	sal		superantigen-like protein
sat	sat	Adhesion/Colonization	serine protease autotransporter
scn	scn	Protectins/Resistance to body defenses	staphylococcal complement inhibitor
sdrC	sdrC	Adhesion/Colonization	Ser-Asp rich fibrinogen-binding protein C
sdrD	sdrD	Adhesion/Colonization	Ser-Asp rich fibrinogen-binding protein D
sdrE	sdrE	Adhesion/Colonization	Ser-Asp rich fibrinogen-binding protein E
sdrH	sdrH	Adhesion/Colonization	Ser-Asp rich fibrinogen-binding portein H
sea	sea	Toxins	enterotoxin A
seb	seb	Toxins	enterotoxin B
sec	sec	Toxins	enterotoxin C
sed	sed	Toxins	enterotoxin D
see	see	Toxins	enterotoxin E
seg	seg	Toxins	enterotoxin G
seh	seh	Toxins	enterotoxin H
sei	sei	Toxins	enterotoxin I
sej	sej	Toxins	enterotoxin J
sek	sek	Toxins	enterotoxin K
sel	sel	Toxins	enterotoxin L
sem	sem	Toxins	enterotoxin M
sen	sen	Toxins	enterotoxin N
senB	senB	Toxins	Plasmid-encoded enterotoxin
SEnt	SEnt	Toxins	enterotoxin
SEnt-like	SEnt-like	Toxins	enterotoxin-like toxin
SEnt-protiein	SEnt-protiein	Toxins	enterotoxin protein
SEntA	SEntA	Toxins	putative enterotoxin type A
SEntB	SEntB	Toxins	enterotoxin B
SEntC	SEntC	Toxins	enterotoxin type C precursor
SEntG	SEntG	Toxins	extracellular enterotoxin type G precursor
SEntH	SEntH	Toxins	enterotoxin H
SEntI	SEntI	Toxins	extracellular enterotoxin type I precursor
SEntK	SEntK	Toxins	enterotoxin K
SEntL	SEntL	Toxins	extracellular enterotoxin L
SEntM	SEntM	Toxins	extracellular enterotoxin type I
SEntN	SEntN	Toxins	enterotoxin N
SEntO	SEntO	Toxins	enterotoxin O
SEntP	SEntP	Toxins	enterotoxin P
SEntQ	SEntQ	Toxins	enterotoxin Q
SEntyent1	SEntyent1	Toxins	enterotoxin yent1
SEntyent2	SEntyent2	Toxins	enterotoxin yent2
seo	seo	Toxins	enterotoxin O
sep	sep	Toxins	enterotoxin P
sepA	sepA	Adhesion/Colonization	Serine protease autotransporter
seq	seq	Toxins	enterotoxin Q
ser	ser	Toxins	enterotoxin R
set1	set1	Toxins	superantigen-like protein
set10	set10	Toxins	superantigen-like protein
set11	set11	Toxins	superantigen-like protein
set12	set12	Toxins	superantigen-like protein
set13	set13	Toxins	superantigen-like protein
set14	set14	Toxins	superantigen-like protein
set15	set15	Toxins	superantigen-like protein
set16	set16	Toxins	exotoxin homolog
set17	set17	Toxins	exotoxin homolog
set18	set18	Toxins	superantigen-like protein
set19	set19	Toxins	superantigen-like protein
set1A	set1A	Toxins	toxin subunit Set1A
set1B	set1B	Toxins	toxin subunit Set1B
set2	set2	Toxins	superantigen-like protein
set20	set20	Toxins	superantigen-like protein 5
set21	set21	Toxins	superantigen-like protein
set22	set22	Toxins	superantigen-like protein 7
set23	set23	Toxins	superantigen-like protein
set24	set24	Toxins	superantigen-like protein
set25	set25	Toxins	superantigen-like protein
set26	set26	Toxins	exotoxin homolog
set3	set3	Toxins	superantigen-like protein
set30	set30	Toxins	superanitgne-like protein
set4	set4	Toxins	superantigen-like protein
set5	set5	Toxins	superantigen-like protein 5
set6	set6	Toxins	superantigen-like protein
set7	set7	Toxins	superantigen-like protein
set8	set8	Toxins	superantigen-like protein
set9	set9	Toxins	superantigen-like protein
seu	seu	Toxins	enterotoxin U
SExo	SExo	Toxins	exotoxin
sfaA	sfaA	Adhesion/Colonization	S-fimbrial major subunit SfaA
shiA	shiA		homologs of the Shigella flexneri SHI-2 pathogenicity island gene shiA
shiB	shiB		homologs of the Shigella flexneri SHI-2 pathogenicity island gene shiA
sigA	sigA	Adhesion/Colonization	Serine protease autotransporter
sitA	sitA	Iron uptake and utilization	Iron transport protein
spa	spa		spa immunoglobulin G binding protein A
splA	splA		serine protease splA
splB	splB		serine protease splB
splC	splC		serine protease splC
splD	splD		serine protease splD
splE	splE		serine protease splE
splF	splF		serine protease splF
SrtA	SrtA		
sspA	sspA		serine V8 protease
sspB	sspB		cysteine protease
sspB2	sspB2		cysteine protease SspB
sspC	sspC		cysteine protease
stx1-S.-sonnei-CB7888	stx1	Toxins	Shiga-like toxin 1
stx1a-O111-04-06263	stx1	Toxins	Shiga-like toxin 1
stx1a-O111-3385-00	stx1	Toxins	Shiga-like toxin 1
stx1a-O111-CB168	stx1	Toxins	Shiga-like toxin 1
stx1a-O111-PH	stx1	Toxins	Shiga-like toxin 1
stx1a-O157-AI2001-52	stx1	Toxins	Shiga-like toxin 1
stx1a-O157-EDL933	stx1	Toxins	Shiga-like toxin 1
stx1a-O157-FLY16	stx1	Toxins	Shiga-like toxin 1
stx1a-O157-GPU96MM	stx1	Toxins	Shiga-like toxin 1
stx1a-O165-HI-2	stx1	Toxins	Shiga-like toxin 1
stx1a-O48-94C	stx1	Toxins	Shiga-like toxin 1
stx1a-ONT-HI-A	stx1	Toxins	Shiga-like toxin 1
stx1B	stx1	Toxins	Shiga-like toxin 1
stx1c-O174-DG131-3	stx1	Toxins	Shiga-like toxin 1
stx1c-ONT-BCN26	stx1	Toxins	Shiga-like toxin 1
stx1c-ONT-HI-B	stx1	Toxins	Shiga-like toxin 1
stx1c-ONT-HI-C	stx1	Toxins	Shiga-like toxin 1
stx1c-Out-HI-N	stx1	Toxins	Shiga-like toxin 1
stx1d-ONT-92-1251	stx1	Toxins	Shiga-like toxin 1
stx1d-ONT-92-1252	stx1	Toxins	Shiga-like toxin 1
stx1d-ONT-AB8SF	stx1	Toxins	Shiga-like toxin 1
stx1d-ONT-MHI813	stx1	Toxins	Shiga-like toxin 1
stx1e-E.-cloacae-M12X01451	stx1	Toxins	Shiga-like toxin 1
stx1A	stx1	Toxins	Shiga-like toxin 1
stx11	stx11	Toxins	Shiga-like Toxin stx11
stx110	stx110	Toxins	Shiga-like Toxin stx110
stx111	stx111	Toxins	Shiga-like Toxin stx111
stx112	stx112	Toxins	Shiga-like Toxin stx112
stx113	stx113	Toxins	Shiga-like Toxin stx113
stx114	stx114	Toxins	Shiga-like Toxin stx114
stx115	stx115	Toxins	Shiga-like Toxin stx115
stx116	stx116	Toxins	Shiga-like Toxin stx116
stx117	stx117	Toxins	Shiga-like Toxin stx117
stx118	stx118	Toxins	Shiga-like Toxin stx118
stx119	stx119	Toxins	Shiga-like Toxin stx119
stx12	stx12	Toxins	Shiga-like Toxin stx12
stx120	stx120	Toxins	Shiga-like Toxin stx120
stx121	stx121	Toxins	Shiga-like Toxin stx121
stx122	stx122	Toxins	Shiga-like Toxin stx122
stx123	stx123	Toxins	Shiga-like Toxin stx123
stx124	stx124	Toxins	Shiga-like Toxin stx124
stx125	stx125	Toxins	Shiga-like Toxin stx125
stx13	stx13	Toxins	Shiga-like Toxin stx13
stx14	stx14	Toxins	Shiga-like Toxin stx14
stx15	stx15	Toxins	Shiga-like Toxin stx15
stx16	stx16	Toxins	Shiga-like Toxin stx16
stx17	stx17	Toxins	Shiga-like Toxin stx17
stx18	stx18	Toxins	Shiga-like Toxin stx18
stx19	stx19	Toxins	Shiga-like Toxin stx19
stx2A	stx2	Toxins	Shiga-like toxin 2
stx2a-A.-haemolyticus	stx2	Toxins	Shiga-like toxin 2
stx2a-E.-cloacae-95MV2	stx2	Toxins	Shiga-like toxin 2
stx2a-O104-G5506	stx2	Toxins	Shiga-like toxin 2
stx2a-O111-928-91	stx2	Toxins	Shiga-like toxin 2
stx2a-O113-CL-3	stx2	Toxins	Shiga-like toxin 2
stx2a-O136-VTB60	stx2	Toxins	Shiga-like toxin 2
stx2a-O157-93-111	stx2	Toxins	Shiga-like toxin 2
stx2a-O157-A397	stx2	Toxins	Shiga-like toxin 2
stx2a-O157-EDL933	stx2	Toxins	Shiga-like toxin 2
stx2a-O157-I6581	stx2	Toxins	Shiga-like toxin 2
stx2a-O157-SF-258-98	stx2	Toxins	Shiga-like toxin 2
stx2a-O178-TS22-08	stx2	Toxins	Shiga-like toxin 2
stx2a-O22-EBC217	stx2	Toxins	Shiga-like toxin 2
stx2a-O26-126814	stx2	Toxins	Shiga-like toxin 2
stx2a-O26-FD930	stx2	Toxins	Shiga-like toxin 2
stx2a-O48-94C	stx2	Toxins	Shiga-like toxin 2
stx2a-O8-BMH-17-0027	stx2	Toxins	Shiga-like toxin 2
stx2a-O8-VTB178	stx2	Toxins	Shiga-like toxin 2
stx2a-O83-N1135	stx2	Toxins	Shiga-like toxin 2
stx2a-O88-N2688	stx2	Toxins	Shiga-like toxin 2
stx2a-ONT-23765	stx2	Toxins	Shiga-like toxin 2
stx2a-ONT-EBC210	stx2	Toxins	Shiga-like toxin 2
stx2a-ONT-EK9900	stx2	Toxins	Shiga-like toxin 2
stx2B	stx2	Toxins	Shiga-like toxin 2
stx2b-O111-PH	stx2	Toxins	Shiga-like toxin 2
stx2b-O111-S-1	stx2	Toxins	Shiga-like toxin 2
stx2b-O111-S-3	stx2	Toxins	Shiga-like toxin 2
stx2b-O118-EH250	stx2	Toxins	Shiga-like toxin 2
stx2b-O128-24196-97	stx2	Toxins	Shiga-like toxin 2
stx2b-O146-BMH-17-0036	stx2	Toxins	Shiga-like toxin 2
stx2b-O174-031	stx2	Toxins	Shiga-like toxin 2
stx2b-O22-3143-97	stx2	Toxins	Shiga-like toxin 2
stx2b-O40-5293-98	stx2	Toxins	Shiga-like toxin 2
stx2b-O8-S-9	stx2	Toxins	Shiga-like toxin 2
stx2b-O93-S-5	stx2	Toxins	Shiga-like toxin 2
stx2b-O96-S-10	stx2	Toxins	Shiga-like toxin 2
stx2b-O96-S-6	stx2	Toxins	Shiga-like toxin 2
stx2b-O96-S-7	stx2	Toxins	Shiga-like toxin 2
stx2b-ONT-I7606	stx2	Toxins	Shiga-like toxin 2
stx2b-Out-HI-N	stx2	Toxins	Shiga-like toxin 2
stx2b-Out-S-4	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-020324	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-310	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-469	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-A75	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-C394-03	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-E32511	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-FLY16	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-G5101	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-V20	stx2	Toxins	Shiga-like toxin 2
stx2c-O157-Y350-	stx2	Toxins	Shiga-like toxin 2
stx2c-O171-EBC287	stx2	Toxins	Shiga-like toxin 2
stx2c-O171-VTB46	stx2	Toxins	Shiga-like toxin 2
stx2c-O174-031	stx2	Toxins	Shiga-like toxin 2
stx2c-O177-06-5121	stx2	Toxins	Shiga-like toxin 2
stx2c-O177-CB7126	stx2	Toxins	Shiga-like toxin 2
stx2c-ONT-EBC219	stx2	Toxins	Shiga-like toxin 2
stx2c-ONT-EBC289	stx2	Toxins	Shiga-like toxin 2
stx2c-OR-TS27-08	stx2	Toxins	Shiga-like toxin 2
stx2d-C.-freundii-LM76	stx2	Toxins	Shiga-like toxin 2
stx2d-O103-CVM9322	stx2	Toxins	Shiga-like toxin 2
stx2d-O113-TS03-07	stx2	Toxins	Shiga-like toxin 2
stx2d-O113-TS21-08	stx2	Toxins	Shiga-like toxin 2
stx2d-O157-7279	stx2	Toxins	Shiga-like toxin 2
stx2d-O174-EC1720a	stx2	Toxins	Shiga-like toxin 2
stx2d-O174-EC173b	stx2	Toxins	Shiga-like toxin 2
stx2d-O2-EC604a	stx2	Toxins	Shiga-like toxin 2
stx2d-O22-KY-O19	stx2	Toxins	Shiga-like toxin 2
stx2d-O28-MT71	stx2	Toxins	Shiga-like toxin 2
stx2d-O55-5905	stx2	Toxins	Shiga-like toxin 2
stx2d-O6-NV206	stx2	Toxins	Shiga-like toxin 2
stx2d-O73-C165-02	stx2	Toxins	Shiga-like toxin 2
stx2d-O8-C466-01B	stx2	Toxins	Shiga-like toxin 2
stx2d-ONT-EBC275	stx2	Toxins	Shiga-like toxin 2
stx2d-ONT-EC1871a	stx2	Toxins	Shiga-like toxin 2
stx2d-OR-TS06-08	stx2	Toxins	Shiga-like toxin 2
stx2d1-O91-B2F1	stx2	Toxins	Shiga-like toxin 2
stx2d2-O91-B2F1	stx2	Toxins	Shiga-like toxin 2
stx2f-O115-F08-101-31	stx2	Toxins	Shiga-like toxin 2
stx2f-O128-HI8	stx2	Toxins	Shiga-like toxin 2
stx2f-O128-T4-97	stx2	Toxins	Shiga-like toxin 2
stx2g-O2-7v	stx2	Toxins	Shiga-like toxin 2
stx2g-O2-HI-11	stx2	Toxins	Shiga-like toxin 2
stx2g-O2-S86	stx2	Toxins	Shiga-like toxin 2
stx2g-Out-S-8	stx2	Toxins	Shiga-like toxin 2
stx2h-O102-STEC299	stx2	Toxins	Shiga-like toxin 2
stx2i-O9-CB10366	stx2	Toxins	Shiga-like toxin 2
stx2j-O101-O101-2012C-4221	stx2	Toxins	Shiga-like toxin 2
stx2j-O33-PNUSAE005447	stx2	Toxins	Shiga-like toxin 2
stx2k-O159-12GZSW01	stx2	Toxins	Shiga-like toxin 2
stx2k-O48-STEC309	stx2	Toxins	Shiga-like toxin 2
stx2l-O65-1610T27873	stx2	Toxins	Shiga-like toxin 2
stx2l-O8-FHI-1106-1092	stx2	Toxins	Shiga-like toxin 2
stx2m-O96-2001F31428	stx2	Toxins	Shiga-like toxin 2
stx2n-O23-2017C-4317	stx2	Toxins	Shiga-like toxin 2
stx2o-O85-03-3638	stx2	Toxins	Shiga-like toxin 2
stx21	stx21	Toxins	Shiga-like toxin stx21
stx210	stx210	Toxins	Shiga-like toxin stx210
stx2100	stx2100	Toxins	Shiga-like toxin stx2100
stx2101	stx2101	Toxins	Shiga-like toxin stx2101
stx2102	stx2102	Toxins	Shiga-like toxin stx2102
stx2103	stx2103	Toxins	Shiga-like toxin stx2103
stx2104	stx2104	Toxins	Shiga-like toxin stx2104
stx2105	stx2105	Toxins	Shiga-like toxin stx2105
stx2106	stx2106	Toxins	Shiga-like toxin stx2106
stx2107	stx2107	Toxins	Shiga-like toxin stx2107
stx2108	stx2108	Toxins	Shiga-like toxin stx2108
stx2109	stx2109	Toxins	Shiga-like toxin stx2109
stx211	stx211	Toxins	Shiga-like toxin stx211
stx2110	stx2110	Toxins	Shiga-like toxin stx2110
stx2111	stx2111	Toxins	Shiga-like toxin stx2111
stx2112	stx2112	Toxins	Shiga-like toxin stx2112
stx2113	stx2113	Toxins	Shiga-like toxin stx2113
stx2114	stx2114	Toxins	Shiga-like toxin stx2114
stx2115	stx2115	Toxins	Shiga-like toxin stx2115
stx2116	stx2116	Toxins	Shiga-like toxin stx2116
stx2117	stx2117	Toxins	Shiga-like toxin stx2117
stx2118	stx2118	Toxins	Shiga-like toxin stx2118
stx2119	stx2119	Toxins	Shiga-like toxin stx2119
stx212	stx212	Toxins	Shiga-like toxin stx212
stx2120	stx2120	Toxins	Shiga-like toxin stx2120
stx2121	stx2121	Toxins	Shiga-like toxin stx2121
stx2122	stx2122	Toxins	Shiga-like toxin stx2122
stx2123	stx2123	Toxins	Shiga-like toxin stx2123
stx2124	stx2124	Toxins	Shiga-like toxin stx2124
stx2125	stx2125	Toxins	Shiga-like toxin stx2125
stx2126	stx2126	Toxins	Shiga-like toxin stx2126
stx2127	stx2127	Toxins	Shiga-like toxin stx2127
stx2128	stx2128	Toxins	Shiga-like toxin stx2128
stx213	stx213	Toxins	Shiga-like toxin stx213
stx2130	stx2130	Toxins	Shiga-like toxin stx2130
stx2131	stx2131	Toxins	Shiga-like toxin stx2131
stx2132	stx2132	Toxins	Shiga-like toxin stx2132
stx2133	stx2133	Toxins	Shiga-like toxin stx2133
stx2135	stx2135	Toxins	Shiga-like toxin stx2135
stx2136	stx2136	Toxins	Shiga-like toxin stx2136
stx2137	stx2137	Toxins	Shiga-like toxin stx2137
stx2138	stx2138	Toxins	Shiga-like toxin stx2138
stx214	stx214	Toxins	Shiga-like toxin stx214
stx215	stx215	Toxins	Shiga-like toxin stx215
stx216	stx216	Toxins	Shiga-like toxin stx216
stx217	stx217	Toxins	Shiga-like toxin stx217
stx218	stx218	Toxins	Shiga-like toxin stx218
stx219	stx219	Toxins	Shiga-like toxin stx219
stx22	stx22	Toxins	Shiga-like toxin stx22
stx220	stx220	Toxins	Shiga-like toxin stx220
stx221	stx221	Toxins	Shiga-like toxin stx221
stx222	stx222	Toxins	Shiga-like toxin stx222
stx223	stx223	Toxins	Shiga-like toxin stx223
stx224	stx224	Toxins	Shiga-like toxin stx224
stx225	stx225	Toxins	Shiga-like toxin stx225
stx226	stx226	Toxins	Shiga-like toxin stx226
stx227	stx227	Toxins	Shiga-like toxin stx227
stx228	stx228	Toxins	Shiga-like toxin stx228
stx229	stx229	Toxins	Shiga-like toxin stx229
stx23	stx23	Toxins	Shiga-like toxin stx23
stx230	stx230	Toxins	Shiga-like toxin stx230
stx231	stx231	Toxins	Shiga-like toxin stx231
stx232	stx232	Toxins	Shiga-like toxin stx232
stx233	stx233	Toxins	Shiga-like toxin stx233
stx234	stx234	Toxins	Shiga-like toxin stx234
stx235	stx235	Toxins	Shiga-like toxin stx235
stx236	stx236	Toxins	Shiga-like toxin stx236
stx237	stx237	Toxins	Shiga-like toxin stx237
stx238	stx238	Toxins	Shiga-like toxin stx238
stx239	stx239	Toxins	Shiga-like toxin stx239
stx24	stx24	Toxins	Shiga-like toxin stx24
stx240	stx240	Toxins	Shiga-like toxin stx240
stx241	stx241	Toxins	Shiga-like toxin stx241
stx242	stx242	Toxins	Shiga-like toxin stx242
stx243	stx243	Toxins	Shiga-like toxin stx243
stx244	stx244	Toxins	Shiga-like toxin stx244
stx245	stx245	Toxins	Shiga-like toxin stx245
stx246	stx246	Toxins	Shiga-like toxin stx246
stx247	stx247	Toxins	Shiga-like toxin stx247
stx248	stx248	Toxins	Shiga-like toxin stx248
stx249	stx249	Toxins	Shiga-like toxin stx249
stx25	stx25	Toxins	Shiga-like toxin stx25
stx250	stx250	Toxins	Shiga-like toxin stx250
stx251	stx251	Toxins	Shiga-like toxin stx251
stx252	stx252	Toxins	Shiga-like toxin stx252
stx253	stx253	Toxins	Shiga-like toxin stx253
stx254	stx254	Toxins	Shiga-like toxin stx254
stx255	stx255	Toxins	Shiga-like toxin stx255
stx256	stx256	Toxins	Shiga-like toxin stx256
stx257	stx257	Toxins	Shiga-like toxin stx257
stx258	stx258	Toxins	Shiga-like toxin stx258
stx259	stx259	Toxins	Shiga-like toxin stx259
stx26	stx26	Toxins	Shiga-like toxin stx26
stx260	stx260	Toxins	Shiga-like toxin stx260
stx261	stx261	Toxins	Shiga-like toxin stx261
stx262	stx262	Toxins	Shiga-like toxin stx262
stx263	stx263	Toxins	Shiga-like toxin stx263
stx264	stx264	Toxins	Shiga-like toxin stx264
stx265	stx265	Toxins	Shiga-like toxin stx265
stx266	stx266	Toxins	Shiga-like toxin stx266
stx267	stx267	Toxins	Shiga-like toxin stx267
stx268	stx268	Toxins	Shiga-like toxin stx268
stx269	stx269	Toxins	Shiga-like toxin stx269
stx27	stx27	Toxins	Shiga-like toxin stx27
stx270	stx270	Toxins	Shiga-like toxin stx270
stx271	stx271	Toxins	Shiga-like toxin stx271
stx272	stx272	Toxins	Shiga-like toxin stx272
stx273	stx273	Toxins	Shiga-like toxin stx273
stx274	stx274	Toxins	Shiga-like toxin stx274
stx275	stx275	Toxins	Shiga-like toxin stx275
stx276	stx276	Toxins	Shiga-like toxin stx276
stx277	stx277	Toxins	Shiga-like toxin stx277
